StaticAgentID [Shape, Colour,Size,Shadow,Reward]
1 [diamond,pink,small,yes,0]
2 [diamond,pink,small,no,0]
3 [diamond,pink,large,yes,-5]
4 [diamond,pink,large,no,0]
5 [diamond,blue,small,yes,0]
6 [diamond,blue,small,no,0]
7 [diamond,blue,large,yes,-5]
8 [diamond,blue,large,no,0]
9 [diamond,yellow,small,yes,0]
10 [diamond,yellow,small,no,0]
11 [diamond,yellow,large,yes,N/A]
12 [diamond,yellow,large,no,0]
13 [square,pink,small,yes,-1]
14 [square,pink,small,no,-1]
15 [square,pink,large,yes,2]
16 [square,pink,large,no,2]
17 [square,blue,small,yes,-1]
18 [square,blue,small,no,-1]
19 [square,blue,large,yes,2]
20 [square,blue,large,no,2]
21 [square,yellow,small,yes,N/A]
22 [square,yellow,small,no,-1]
23 [square,yellow,large,yes,2]
24 [square,yellow,large,no,N/A]
25 [circle,pink,small,yes,0]
26 [circle,pink,small,no,0]
27 [circle,pink,large,yes,0]
28 [circle,pink,large,no,0]
29 [circle,blue,small,yes,0]
30 [circle,blue,small,no,0]
31 [circle,blue,large,yes,0]
32 [circle,blue,large,no,0]
33 [circle,yellow,small,yes,0]
34 [circle,yellow,small,no,0]
35 [circle,yellow,large,yes,0]
36 [circle,yellow,large,no,0]

